job_id,job_title,department,location,country,seniority,employment_type,work_model,opening_date,target_hires,job_status,close_date,recruiter_id,salary_min_eur,salary_max_eur,difficulty_score
JOB0019,Operations Specialist,Operations,Berlin,Germany,Professional,Permanent,Hybrid,2024-05-11,4,Partially filled,2024-08-05,REC006,60000,78000,2.7
JOB0020,Electrical Engineer,Engineering,Munich,Germany,Senior,Permanent,Remote,2024-08-06,2,Cancelled,2024-11-12,REC008,88000,106000,4.8
JOB0021,Data Engineer,IT,Hamburg,Germany,Junior,Permanent,On-site,2024-06-04,3,Filled,2024-09-19,REC001,59000,77000,3.5
JOB0022,Data Analyst,IT,Hamburg,Germany,Senior,Permanent,Hybrid,2024-11-10,1,Filled,2025-02-24,REC008,87000,99000,5.0
JOB0023,Quality Engineer,Engineering,Hamburg,Germany,Junior,Permanent,Hybrid,2024-06-18,1,Filled,2024-07-31,REC006,53000,65000,3.0
JOB0024,Sales Manager,Sales,Cologne,Germany,Senior,Permanent,On-site,2025-07-26,4,Filled,2025-11-01,REC003,77000,95000,3.1
JOB0025,Data Analyst,IT,Berlin,Germany,Professional,Permanent,On-site,2025-07-24,2,Filled,2025-12-05,REC001,67000,76000,4.6
JOB0026,Project Coordinator,Operations,Cologne,Germany,Junior,Permanent,On-site,2025-07-07,4,Partially filled,2025-10-26,REC011,46000,55000,2.1
JOB0027,Controller,Finance,Berlin,Germany,Senior,Permanent,Hybrid,2024-12-26,3,Filled,2025-04-30,REC012,81000,90000,3.6
JOB0028,Process Engineer,Engineering,Cologne,Germany,Junior,Permanent,Hybrid,2025-08-18,1,Closed without hire,2025-11-11,REC012,49000,64000,3.1
JOB0029,Mechanical Engineer,Engineering,Munich,Germany,Professional,Permanent,On-site,2025-06-12,1,Closed without hire,2025-09-02,REC012,71000,86000,4.6
JOB0030,Payroll Specialist,HR,Frankfurt,Germany,Professional,Permanent,On-site,2024-02-21,1,Filled,2024-05-23,REC012,67000,85000,2.1
JOB0031,Finance Business Partner,Finance,Hamburg,Germany,Senior,Permanent,On-site,2025-07-23,1,Closed without hire,2025-09-29,REC004,82000,100000,3.0
JOB0032,Process Engineer,Engineering,Cologne,Germany,Professional,Permanent,Hybrid,2024-06-29,1,Cancelled,2024-09-17,REC002,70000,88000,3.7
JOB0033,Team Lead Operations,Operations,Hamburg,Germany,Professional,Permanent,Hybrid,2025-04-15,3,Filled,2025-07-18,REC012,62000,74000,3.1
JOB0034,Data Analyst,IT,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-05-17,1,Filled,2025-09-04,REC001,74000,89000,4.2
JOB0035,Accountant,Finance,Frankfurt,Germany,Senior,Permanent,Hybrid,2024-06-02,1,Filled,2024-09-21,REC006,85000,100000,4.2
JOB0036,Sales Manager,Sales,Hamburg,Germany,Professional,Permanent,Hybrid,2024-04-26,1,Filled,2024-07-08,REC003,61000,73000,3.2
JOB0037,Mechanical Engineer,Engineering,Munich,Germany,Senior,Permanent,Hybrid,2025-06-14,2,Filled,2025-07-27,REC012,92000,107000,4.5
JOB0038,Sales Representative,Sales,Munich,Germany,Senior,Permanent,Hybrid,2025-10-02,3,Filled,2026-01-17,REC003,84000,102000,3.2
JOB0039,Controller,Finance,Munich,Germany,Junior,Permanent,Hybrid,2024-03-07,1,Filled,2024-06-05,REC004,56000,65000,2.0
JOB0040,Cloud Engineer,IT,Hamburg,Germany,Junior,Permanent,Hybrid,2024-01-22,1,Filled,2024-03-15,REC007,53000,68000,4.3
JOB0041,Controller,Finance,Frankfurt,Germany,Professional,Permanent,Remote,2024-08-04,4,Filled,2024-10-22,REC006,66000,84000,3.1
JOB0042,Operations Specialist,Operations,Frankfurt,Germany,Junior,Permanent,Hybrid,2025-07-30,1,Filled,2025-10-13,REC012,45000,54000,1.9
JOB0043,Sales Representative,Sales,Berlin,Germany,Professional,Permanent,Hybrid,2024-07-28,2,Filled,2024-09-21,REC003,66000,84000,2.8
JOB0044,IT Support Specialist,IT,Frankfurt,Germany,Professional,Permanent,Remote,2024-04-11,1,Filled,2024-08-04,REC008,72000,87000,4.1
JOB0045,Quality Engineer,Engineering,Hamburg,Germany,Senior,Permanent,On-site,2025-06-14,2,Filled,2025-09-04,REC006,83000,101000,4.7
JOB0046,Cloud Engineer,IT,Cologne,Germany,Professional,Permanent,On-site,2025-06-23,2,Partially filled,2025-09-21,REC006,68000,77000,4.1
JOB0047,Process Engineer,Engineering,Berlin,Germany,Senior,Permanent,On-site,2024-09-05,1,Closed without hire,2024-12-14,REC008,78000,93000,4.6
JOB0048,Sales Manager,Sales,Frankfurt,Germany,Junior,Permanent,Remote,2025-05-18,1,Filled,2025-06-22,REC012,47000,56000,1.6
JOB0049,Team Lead Operations,Operations,Hamburg,Germany,Professional,Permanent,Hybrid,2025-09-18,1,Filled,2025-11-14,REC005,57000,72000,2.7
JOB0050,Operations Specialist,Operations,Hamburg,Germany,Senior,Permanent,Hybrid,2025-08-26,1,Filled,2025-12-07,REC012,76000,88000,3.3
JOB0051,Account Executive,Sales,Hamburg,Germany,Professional,Permanent,Hybrid,2024-06-20,1,Filled,2024-08-10,REC006,63000,72000,3.4
JOB0052,Operations Specialist,Operations,Frankfurt,Germany,Senior,Permanent,Hybrid,2025-01-08,2,Closed without hire,2025-03-19,REC008,81000,93000,2.9
JOB0053,Sales Manager,Sales,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-07-16,4,Partially filled,2025-09-17,REC012,67000,82000,2.3
JOB0054,Sales Representative,Sales,Berlin,Germany,Senior,Permanent,Hybrid,2025-09-04,2,Partially filled,2025-11-19,REC006,73000,88000,3.4
JOB0055,Financial Analyst,Finance,Frankfurt,Germany,Professional,Permanent,Remote,2025-09-18,1,Filled,2025-10-31,REC006,67000,76000,2.5
JOB0056,Content Specialist,Marketing,Munich,Germany,Junior,Permanent,Hybrid,2025-05-25,1,Closed without hire,2025-07-27,REC010,47000,59000,2.0
JOB0057,Sales Representative,Sales,Frankfurt,Germany,Lead,Permanent,Hybrid,2024-03-31,2,Filled,2024-07-08,REC006,97000,112000,3.9
JOB0058,Team Lead Operations,Operations,Munich,Germany,Lead,Permanent,Hybrid,2025-09-30,2,Filled,2026-01-13,REC005,102000,114000,3.3
JOB0059,Marketing Manager,Marketing,Munich,Germany,Professional,Permanent,On-site,2025-05-16,1,Closed without hire,2025-07-26,REC010,66000,84000,2.9
JOB0060,HR Business Partner,HR,Berlin,Germany,Professional,Permanent,Hybrid,2024-11-07,3,Filled,2025-01-08,REC008,65000,83000,2.1
JOB0061,Account Executive,Sales,Munich,Germany,Senior,Permanent,Hybrid,2025-01-30,1,Filled,2025-03-09,REC006,82000,94000,2.7
JOB0062,Mechanical Engineer,Engineering,Frankfurt,Germany,Senior,Permanent,Hybrid,2024-04-14,3,Filled,2024-08-03,REC006,81000,99000,5.0
JOB0063,Accountant,Finance,Berlin,Germany,Professional,Permanent,Hybrid,2024-12-10,1,Filled,2025-02-02,REC006,65000,83000,3.5
JOB0064,Performance Marketing Specialist,Marketing,Cologne,Germany,Professional,Permanent,Hybrid,2025-10-13,2,Open,,REC008,60000,78000,3.1
JOB0065,Business Development Manager,Sales,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-04-13,1,Filled,2025-05-25,REC006,65000,80000,3.5
JOB0066,Performance Marketing Specialist,Marketing,Berlin,Germany,Junior,Permanent,Hybrid,2024-01-18,2,Cancelled,2024-03-23,REC010,47000,62000,2.4
JOB0067,Financial Analyst,Finance,Hamburg,Germany,Senior,Permanent,Hybrid,2025-07-31,1,Filled,2025-11-27,REC006,82000,97000,3.6
JOB0068,Data Analyst,IT,Frankfurt,Germany,Professional,Permanent,Remote,2024-11-06,4,Filled,2025-02-25,REC006,73000,88000,4.5
JOB0069,Accountant,Finance,Frankfurt,Germany,Junior,Permanent,Remote,2024-09-10,4,Partially filled,2024-12-31,REC004,55000,67000,2.6
JOB0070,Supply Chain Analyst,Operations,Berlin,Germany,Senior,Permanent,Remote,2024-03-11,1,Filled,2024-05-18,REC006,81000,93000,3.4
JOB0071,Sales Manager,Sales,Berlin,Germany,Senior,Permanent,Hybrid,2024-10-16,1,Filled,2024-12-01,REC006,77000,92000,3.2
JOB0072,Payroll Specialist,HR,Frankfurt,Germany,Junior,Permanent,On-site,2025-02-14,2,Filled,2025-04-28,REC008,50000,59000,1.8
JOB0073,Software Developer,IT,Frankfurt,Germany,Professional,Permanent,On-site,2025-08-30,1,Filled,2025-10-24,REC001,74000,92000,4.7
JOB0074,Software Developer,IT,Frankfurt,Germany,Professional,Permanent,On-site,2025-10-11,1,Filled,2025-12-11,REC008,73000,91000,4.5
JOB0075,Software Developer,IT,Berlin,Germany,Professional,Permanent,Hybrid,2024-09-19,3,Filled,2025-01-07,REC001,67000,85000,3.9
JOB0076,CRM Manager,Marketing,Frankfurt,Germany,Professional,Permanent,Remote,2025-02-01,2,Filled,2025-04-16,REC006,63000,75000,2.3
JOB0077,Project Coordinator,Operations,Hamburg,Germany,Senior,Permanent,Hybrid,2024-11-16,1,Filled,2024-12-15,REC011,77000,92000,2.9
JOB0078,Data Engineer,IT,Cologne,Germany,Professional,Permanent,Hybrid,2025-01-29,2,Filled,2025-05-16,REC012,70000,85000,3.8
JOB0079,Payroll Specialist,HR,Munich,Germany,Professional,Permanent,On-site,2025-01-20,2,Filled,2025-02-21,REC009,69000,87000,2.6
JOB0080,Process Engineer,Engineering,Hamburg,Germany,Professional,Permanent,On-site,2024-11-23,2,Filled,2025-02-28,REC012,62000,74000,3.8
JOB0081,Learning Specialist,HR,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-08-05,1,Closed without hire,2024-10-04,REC006,63000,81000,2.2
JOB0082,Team Lead Operations,Operations,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-01-01,1,Filled,2025-02-10,REC008,61000,76000,2.2
JOB0083,Data Engineer,IT,Munich,Germany,Professional,Permanent,On-site,2024-05-30,1,Cancelled,2024-08-29,REC001,73000,82000,4.3
JOB0084,Recruiter,HR,Munich,Germany,Junior,Permanent,On-site,2025-02-13,1,Filled,2025-04-04,REC006,50000,59000,1.7
JOB0085,Cloud Engineer,IT,Munich,Germany,Professional,Permanent,Hybrid,2025-09-25,3,Partially filled,2026-02-13,REC007,75000,84000,4.2
JOB0086,Financial Analyst,Finance,Hamburg,Germany,Lead,Permanent,Hybrid,2024-01-29,3,Partially filled,2024-04-09,REC006,96000,111000,3.8
JOB0087,Sales Representative,Sales,Berlin,Germany,Senior,Permanent,Hybrid,2025-10-05,1,Closed without hire,2025-12-03,REC003,82000,97000,2.9
JOB0088,Software Developer,IT,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-11-12,1,Filled,2024-12-23,REC007,74000,86000,4.4
JOB0089,CRM Manager,Marketing,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-02-11,1,Filled,2024-04-21,REC008,66000,81000,2.6
JOB0090,Process Engineer,Engineering,Hamburg,Germany,Professional,Permanent,Hybrid,2025-01-09,3,Filled,2025-03-08,REC008,66000,75000,3.7
JOB0091,Account Executive,Sales,Munich,Germany,Junior,Permanent,Hybrid,2024-12-25,1,Filled,2025-02-11,REC006,52000,64000,1.9
JOB0092,Team Lead Operations,Operations,Berlin,Germany,Professional,Permanent,On-site,2024-01-06,4,Filled,2024-03-12,REC008,62000,71000,2.4
JOB0093,Quality Engineer,Engineering,Berlin,Germany,Junior,Permanent,Remote,2024-01-19,2,Cancelled,2024-03-17,REC008,47000,59000,2.8
JOB0094,Data Analyst,IT,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-02-22,3,Partially filled,2024-06-12,REC001,69000,78000,4.2
JOB0095,Account Executive,Sales,Munich,Germany,Junior,Permanent,On-site,2025-10-17,1,Closed without hire,2025-12-26,REC012,53000,71000,2.4
JOB0096,Software Developer,IT,Berlin,Germany,Junior,Permanent,On-site,2025-03-04,3,Closed without hire,2025-05-27,REC001,54000,72000,3.4
JOB0097,Project Coordinator,Operations,Berlin,Germany,Professional,Permanent,On-site,2024-03-28,1,Filled,2024-04-18,REC008,62000,77000,2.5
JOB0098,Financial Analyst,Finance,Hamburg,Germany,Professional,Permanent,On-site,2024-12-31,3,Cancelled,2025-03-07,REC012,68000,80000,3.2
JOB0099,Business Development Manager,Sales,Berlin,Germany,Senior,Permanent,Hybrid,2024-12-07,1,Filled,2025-04-04,REC006,78000,90000,3.1
JOB0100,Electrical Engineer,Engineering,Cologne,Germany,Junior,Permanent,Hybrid,2025-05-25,1,Filled,2025-07-23,REC008,48000,60000,2.7
JOB0101,Account Executive,Sales,Frankfurt,Germany,Senior,Permanent,Hybrid,2025-02-11,1,Filled,2025-03-17,REC012,86000,101000,3.1
JOB0102,IT Support Specialist,IT,Hamburg,Germany,Senior,Permanent,Hybrid,2025-04-06,2,Filled,2025-07-11,REC001,90000,105000,4.1
JOB0103,Software Developer,IT,Munich,Germany,Senior,Permanent,Remote,2025-08-13,4,Filled,2025-12-01,REC012,91000,109000,5.0
JOB0104,Recruiter,HR,Frankfurt,Germany,Professional,Permanent,Remote,2025-06-10,1,Filled,2025-07-13,REC012,63000,75000,1.6
JOB0105,Controller,Finance,Hamburg,Germany,Lead,Permanent,Hybrid,2025-03-07,3,Partially filled,2025-06-05,REC004,97000,106000,4.4
JOB0106,Data Engineer,IT,Cologne,Germany,Professional,Permanent,Remote,2025-05-16,1,Filled,2025-08-24,REC001,70000,82000,3.9
JOB0107,Process Engineer,Engineering,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-08-19,1,Closed without hire,2024-11-10,REC008,69000,78000,3.9
JOB0108,Data Engineer,IT,Berlin,Germany,Professional,Permanent,On-site,2025-03-14,1,Filled,2025-06-08,REC007,70000,82000,4.4
JOB0109,Cloud Engineer,IT,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-03-14,2,Partially filled,2025-05-31,REC012,74000,92000,4.2
JOB0110,Supply Chain Analyst,Operations,Munich,Germany,Professional,Permanent,Hybrid,2024-01-03,1,Closed without hire,2024-03-15,REC011,65000,80000,3.1
JOB0111,Finance Business Partner,Finance,Hamburg,Germany,Senior,Permanent,On-site,2024-09-14,2,Filled,2024-11-30,REC004,78000,93000,3.6
JOB0112,Marketing Manager,Marketing,Frankfurt,Germany,Senior,Permanent,Hybrid,2024-04-30,1,Filled,2024-07-01,REC008,80000,92000,3.1
JOB0113,Data Engineer,IT,Frankfurt,Germany,Junior,Permanent,Hybrid,2024-10-01,1,Filled,2024-12-24,REC006,57000,72000,3.4
JOB0114,Controller,Finance,Berlin,Germany,Professional,Permanent,Hybrid,2024-05-28,1,Filled,2024-08-25,REC006,67000,76000,2.7
JOB0115,Supply Chain Analyst,Operations,Berlin,Germany,Professional,Permanent,Hybrid,2025-02-04,1,Filled,2025-04-24,REC005,57000,69000,2.3
JOB0116,Data Analyst,IT,Berlin,Germany,Professional,Permanent,On-site,2024-06-08,1,Cancelled,2024-09-12,REC007,65000,83000,4.3
JOB0117,Data Engineer,IT,Hamburg,Germany,Senior,Permanent,On-site,2025-08-17,2,Cancelled,2025-11-05,REC008,83000,92000,4.7
JOB0118,Financial Analyst,Finance,Frankfurt,Germany,Lead,Permanent,Remote,2025-02-06,1,Closed without hire,2025-05-07,REC006,98000,110000,3.8
JOB0119,Financial Analyst,Finance,Frankfurt,Germany,Professional,Permanent,On-site,2025-02-01,1,Closed without hire,2025-04-05,REC006,69000,81000,3.0
JOB0120,Sales Representative,Sales,Berlin,Germany,Junior,Permanent,On-site,2024-10-17,2,Cancelled,2024-12-13,REC003,41000,59000,2.2
JOB0121,Sales Manager,Sales,Cologne,Germany,Professional,Permanent,Hybrid,2024-04-12,1,Closed without hire,2024-07-02,REC008,62000,80000,3.1
JOB0122,Electrical Engineer,Engineering,Berlin,Germany,Lead,Permanent,Hybrid,2024-03-14,1,Closed without hire,2024-06-19,REC008,105000,114000,4.8
JOB0123,Supply Chain Analyst,Operations,Hamburg,Germany,Senior,Permanent,Hybrid,2024-07-22,2,Filled,2024-10-14,REC012,76000,88000,3.4
JOB0124,Software Developer,IT,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-07-23,4,Filled,2025-11-15,REC008,71000,89000,3.8
JOB0125,Financial Analyst,Finance,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-02-07,2,Cancelled,2025-04-23,REC008,64000,76000,2.8
JOB0126,Performance Marketing Specialist,Marketing,Frankfurt,Germany,Senior,Permanent,On-site,2025-03-23,3,Filled,2025-06-05,REC008,77000,95000,3.6
JOB0127,Quality Engineer,Engineering,Munich,Germany,Professional,Permanent,Hybrid,2024-08-19,1,Filled,2024-09-25,REC008,74000,92000,4.1
JOB0128,Financial Analyst,Finance,Berlin,Germany,Junior,Permanent,Remote,2025-07-13,2,Filled,2025-09-15,REC012,50000,68000,2.9
JOB0129,HR Business Partner,HR,Berlin,Germany,Professional,Permanent,Hybrid,2025-04-09,3,Filled,2025-07-14,REC009,66000,78000,2.2
JOB0130,Content Specialist,Marketing,Frankfurt,Germany,Senior,Permanent,Hybrid,2025-05-15,2,Partially filled,2025-08-10,REC012,82000,91000,3.6
JOB0131,Operations Specialist,Operations,Frankfurt,Germany,Professional,Permanent,Remote,2025-01-12,1,Filled,2025-03-23,REC005,67000,79000,2.2
JOB0132,Financial Analyst,Finance,Frankfurt,Germany,Professional,Permanent,Remote,2024-11-01,3,Cancelled,2025-01-08,REC006,66000,75000,3.4
JOB0133,Mechanical Engineer,Engineering,Berlin,Germany,Professional,Permanent,Hybrid,2024-08-19,1,Filled,2024-10-05,REC008,69000,81000,3.9
JOB0134,Accountant,Finance,Berlin,Germany,Senior,Permanent,On-site,2025-07-31,1,Closed without hire,2025-10-25,REC012,83000,95000,3.7
JOB0135,Financial Analyst,Finance,Frankfurt,Germany,Senior,Permanent,Hybrid,2024-08-03,2,Filled,2024-09-15,REC004,79000,97000,4.2
JOB0136,Project Coordinator,Operations,Berlin,Germany,Junior,Permanent,Hybrid,2025-02-23,1,Filled,2025-05-07,REC012,42000,57000,2.1
JOB0137,IT Support Specialist,IT,Munich,Germany,Professional,Permanent,Hybrid,2024-10-15,4,Filled,2024-12-17,REC006,76000,94000,3.8
JOB0138,Team Lead Operations,Operations,Frankfurt,Germany,Junior,Permanent,Hybrid,2025-05-29,1,Filled,2025-08-10,REC012,51000,63000,1.7
JOB0139,Project Coordinator,Operations,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-03-18,1,Filled,2024-05-24,REC008,62000,77000,2.3
JOB0140,Data Analyst,IT,Berlin,Germany,Professional,Permanent,Remote,2024-07-20,1,Closed without hire,2024-10-01,REC007,70000,82000,3.9
JOB0141,CRM Manager,Marketing,Frankfurt,Germany,Senior,Permanent,On-site,2024-06-02,2,Filled,2024-08-03,REC008,76000,94000,3.7
JOB0142,Process Engineer,Engineering,Berlin,Germany,Lead,Permanent,Hybrid,2024-08-21,1,Closed without hire,2024-11-07,REC006,101000,116000,4.7
JOB0143,Recruiter,HR,Hamburg,Germany,Professional,Permanent,Hybrid,2025-08-04,3,Filled,2025-10-23,REC009,62000,80000,2.4
JOB0144,Data Engineer,IT,Munich,Germany,Senior,Permanent,On-site,2025-04-27,1,Closed without hire,2025-08-08,REC001,94000,106000,5.0
JOB0145,Learning Specialist,HR,Cologne,Germany,Lead,Permanent,On-site,2024-10-27,2,Partially filled,2025-01-26,REC009,95000,110000,3.8
JOB0146,Software Developer,IT,Berlin,Germany,Professional,Permanent,On-site,2024-05-07,1,Filled,2024-07-14,REC007,71000,86000,3.7
JOB0147,Process Engineer,Engineering,Frankfurt,Germany,Senior,Permanent,Hybrid,2024-06-20,2,Filled,2024-08-07,REC002,88000,103000,4.3
JOB0148,Mechanical Engineer,Engineering,Berlin,Germany,Junior,Permanent,Hybrid,2024-12-04,2,Closed without hire,2025-02-01,REC008,46000,58000,2.9
JOB0149,Sales Representative,Sales,Munich,Germany,Professional,Permanent,Hybrid,2025-08-14,1,Closed without hire,2025-10-19,REC012,66000,78000,3.0
JOB0150,Sales Manager,Sales,Cologne,Germany,Junior,Permanent,Hybrid,2024-12-18,1,Cancelled,2025-02-13,REC012,43000,61000,2.3
JOB0151,Project Coordinator,Operations,Berlin,Germany,Professional,Permanent,On-site,2025-09-25,1,Closed without hire,2025-11-13,REC011,59000,68000,2.0
JOB0152,Data Engineer,IT,Cologne,Germany,Junior,Permanent,On-site,2024-05-12,1,Cancelled,2024-08-04,REC007,53000,71000,3.5
JOB0153,Process Engineer,Engineering,Berlin,Germany,Professional,Permanent,Hybrid,2024-01-26,2,Filled,2024-03-29,REC008,67000,76000,4.6
JOB0154,Supply Chain Analyst,Operations,Munich,Germany,Professional,Permanent,Remote,2025-10-24,3,Filled,2025-12-14,REC006,69000,87000,2.3
JOB0155,Controller,Finance,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-12-27,2,Cancelled,2025-03-14,REC006,71000,80000,3.1
JOB0156,Data Engineer,IT,Berlin,Germany,Professional,Permanent,On-site,2025-03-15,1,Closed without hire,2025-06-13,REC008,67000,85000,4.0
JOB0157,Controller,Finance,Frankfurt,Germany,Senior,Permanent,Hybrid,2024-10-18,1,Filled,2025-01-02,REC006,85000,103000,3.1
JOB0158,Business Development Manager,Sales,Berlin,Germany,Junior,Permanent,Remote,2024-08-20,1,Closed without hire,2024-10-16,REC006,43000,52000,1.7
JOB0159,Cloud Engineer,IT,Frankfurt,Germany,Professional,Permanent,On-site,2025-01-30,1,Closed without hire,2025-04-29,REC001,72000,90000,4.1
JOB0160,Data Engineer,IT,Berlin,Germany,Professional,Permanent,On-site,2025-08-17,1,Filled,2025-09-22,REC007,70000,79000,4.0
JOB0161,Team Lead Operations,Operations,Berlin,Germany,Senior,Permanent,Hybrid,2024-12-25,3,Cancelled,2025-03-08,REC012,75000,84000,3.1
JOB0162,Process Engineer,Engineering,Munich,Germany,Lead,Permanent,Hybrid,2024-12-21,1,Filled,2025-04-07,REC002,106000,124000,4.4
JOB0163,Financial Analyst,Finance,Munich,Germany,Senior,Permanent,Hybrid,2024-03-16,3,Filled,2024-07-01,REC012,87000,99000,4.1
JOB0164,Software Developer,IT,Hamburg,Germany,Senior,Permanent,Hybrid,2025-08-08,1,Closed without hire,2025-10-29,REC012,87000,99000,4.6
JOB0165,Data Analyst,IT,Berlin,Germany,Senior,Permanent,Hybrid,2024-06-17,1,Closed without hire,2024-09-14,REC012,88000,97000,4.2
JOB0166,Payroll Specialist,HR,Frankfurt,Germany,Junior,Permanent,Remote,2025-08-30,1,Filled,2025-10-06,REC006,49000,61000,1.7
JOB0167,HR Business Partner,HR,Munich,Germany,Senior,Permanent,Hybrid,2025-04-28,1,Filled,2025-07-19,REC008,82000,94000,3.1
JOB0168,Sales Manager,Sales,Berlin,Germany,Professional,Permanent,Hybrid,2024-07-13,4,Filled,2024-09-28,REC003,66000,81000,2.4
JOB0169,Cloud Engineer,IT,Berlin,Germany,Senior,Permanent,Remote,2024-06-27,1,Filled,2024-09-23,REC008,88000,106000,4.7
JOB0170,Operations Specialist,Operations,Frankfurt,Germany,Senior,Permanent,Hybrid,2024-04-14,1,Filled,2024-05-18,REC012,76000,91000,3.0
JOB0171,Cloud Engineer,IT,Cologne,Germany,Professional,Permanent,On-site,2024-02-27,2,Filled,2024-06-27,REC007,70000,85000,4.2
JOB0172,Sales Representative,Sales,Frankfurt,Germany,Senior,Permanent,Remote,2025-04-21,1,Filled,2025-07-21,REC006,83000,92000,4.0
JOB0173,Team Lead Operations,Operations,Frankfurt,Germany,Professional,Permanent,Hybrid,2024-10-06,1,Filled,2024-10-30,REC005,62000,77000,2.5
JOB0174,Performance Marketing Specialist,Marketing,Berlin,Germany,Professional,Permanent,Hybrid,2025-01-02,1,Filled,2025-02-02,REC012,60000,78000,3.0
JOB0175,Operations Specialist,Operations,Berlin,Germany,Professional,Permanent,Hybrid,2025-10-21,2,Open,,REC012,61000,76000,2.4
JOB0176,Learning Specialist,HR,Frankfurt,Germany,Senior,Permanent,On-site,2024-03-27,1,Closed without hire,2024-05-27,REC012,79000,91000,3.1
JOB0177,HR Business Partner,HR,Cologne,Germany,Senior,Permanent,On-site,2024-01-25,3,Filled,2024-04-20,REC008,78000,90000,2.8
JOB0178,Sales Representative,Sales,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-01-16,2,Partially filled,2025-03-21,REC012,64000,82000,2.7
JOB0179,HR Business Partner,HR,Frankfurt,Germany,Senior,Permanent,Hybrid,2024-11-26,3,Cancelled,2025-01-31,REC009,80000,98000,3.1
JOB0180,Data Engineer,IT,Munich,Germany,Professional,Permanent,Hybrid,2025-02-01,1,Filled,2025-05-19,REC008,69000,78000,3.4
JOB0181,Data Analyst,IT,Frankfurt,Germany,Professional,Permanent,Hybrid,2025-08-20,1,Filled,2025-12-05,REC007,74000,83000,4.6
